x	y	z
-10	-10	0.793473041
-10	-9	0.635032792
-10	-8	-0.07630546
-10	-7	-0.745172982
-10	-6	-0.793715305
-10	-5	-0.163874239
-10	-4	0.618708553
-10	-3	0.886352577
-10	-2	0.402987008
-10	-1	-0.426489058
-10	0	-0.897831775
-10	1	-0.609768265
-10	2	0.191872904
-10	3	0.825480935
-10	4	0.757468021
-10	5	0.054908162
-10	6	-0.679725958
-10	7	-0.828772495
-10	8	-0.282294631
-10	9	0.482025084
-10	10	0.818730753
-9	-10	0.635032792
-9	-9	-0.076458224
-9	-8	-0.748159643
-9	-7	-0.798491912
-9	-6	-0.165190491
-9	-5	0.624926678
-9	-4	0.897052881
-9	-3	0.408668504
-9	-2	-0.433367766
-9	-1	-0.914139073
-9	0	-0.622086401
-9	1	0.196140884
-9	2	0.84553213
-9	3	0.777420447
-9	4	0.056467316
-9	5	-0.700426696
-9	6	-0.855722109
-9	7	-0.29205768
-9	8	0.499694121
-9	9	0.850441205
-9	10	0.482025084
-8	-10	-0.07630546
-8	-9	-0.748159643
-8	-8	-0.800090494
-8	-7	-0.165852576
-8	-6	0.628687509
-8	-5	0.904258087
-8	-4	0.412775691
-8	-3	-0.438599507
-8	-2	-0.927027025
-8	-1	-0.632119837
-8	0	0.199703386
-8	1	0.862613012
-8	2	0.79471322
-8	3	0.057838925
-8	4	-0.718876599
-8	5	-0.880020924
-8	6	-0.300952161
-8	7	0.515942927
-8	8	0.879853379
-8	9	0.499694121
-8	10	-0.282294631
-7	-10	-0.745172982
-7	-9	-0.798491912
-7	-8	-0.165852576
-7	-7	0.629946142
-7	-6	0.907882363
-7	-5	0.41525979
-7	-4	-0.442122376
-7	-3	-0.936343802
-7	-2	-0.63975097
-7	-1	0.202518896
-7	0	0.876525826
-7	1	0.809147577
-7	2	0.059007349
-7	3	-0.734867135
-7	4	-0.901396912
-7	5	-0.308879526
-7	6	0.53059348
-7	7	0.906648904
-7	8	0.515942927
-7	9	-0.29205768
-7	10	-0.828772495
-6	-10	-0.793715305
-6	-9	-0.165190491
-6	-8	0.628687509
-6	-7	0.907882363
-6	-6	0.41609114
-6	-5	-0.443894407
-6	-4	-0.941978752
-6	-3	-0.644889505
-6	-2	0.204554245
-6	-1	0.887107499
-6	0	0.820555311
-6	1	0.05995906
-6	2	-0.74821451
-6	3	-0.919606337
-6	4	-0.315750176
-6	5	0.543481764
-6	6	0.930530896
-6	7	0.53059348
-6	8	-0.300952161
-6	9	-0.855722109
-6	10	-0.679725958
-5	-10	-0.163874239
-5	-9	0.624926678
-5	-8	0.904258087
-5	-7	0.41525979
-5	-6	-0.443894407
-5	-5	-0.943864595
-5	-4	-0.647474229
-5	-3	0.20578526
-5	-2	0.894232822
-5	-1	0.828802029
-5	0	0.060682903
-5	1	-0.758763181
-5	2	-0.934438379
-5	3	-0.321485139
-5	4	0.554460824
-5	5	0.951229425
-5	6	0.543481764
-5	7	-0.308879526
-5	8	-0.880020924
-5	9	-0.700426696
-5	10	0.054908162
-4	-10	0.618708553
-4	-9	0.897052881
-4	-8	0.412775691
-4	-7	-0.442122376
-4	-6	-0.941978752
-4	-5	-0.647474229
-4	-4	0.206197242
-4	-3	0.897816917
-4	-2	0.833789789
-4	-1	0.061170314
-4	0	-0.766388878
-4	1	-0.945719189
-4	2	-0.326017584
-4	3	0.563403548
-4	4	0.968506582
-4	5	0.554460824
-4	6	-0.315750176
-4	7	-0.901396912
-4	8	-0.718876599
-4	9	0.056467316
-4	10	0.757468021
-3	-10	0.886352577
-3	-9	0.408668504
-3	-8	-0.438599507
-3	-7	-0.936343802
-3	-6	-0.644889505
-3	-5	0.20578526
-3	-4	0.897816917
-3	-3	0.835459038
-3	-2	0.061415485
-3	-1	-0.771001034
-3	0	-0.953315286
-3	1	-0.329294115
-3	2	0.570205119
-3	3	0.982161032
-3	4	0.563403548
-3	5	-0.321485139
-3	6	-0.919606337
-3	7	-0.734867135
-3	8	0.057838925
-3	9	0.777420447
-3	10	0.825480935
-2	-10	0.402987008
-2	-9	-0.433367766
-2	-8	-0.927027025
-2	-7	-0.63975097
-2	-6	0.204554245
-2	-5	0.894232822
-2	-4	0.833789789
-2	-3	0.061415485
-2	-2	-0.772544579
-2	-1	-0.957136184
-2	0	-0.331275819
-2	1	0.574785055
-2	2	0.992031915
-2	3	0.570205119
-2	4	-0.326017584
-2	5	-0.934438379
-2	6	-0.74821451
-2	7	0.059007349
-2	8	0.79471322
-2	9	0.84553213
-2	10	0.191872904
-1	-10	-0.426489058
-1	-9	-0.914139073
-1	-8	-0.632119837
-1	-7	0.202518896
-1	-6	0.887107499
-1	-5	0.828802029
-1	-4	0.061170314
-1	-3	-0.771001034
-1	-2	-0.957136184
-1	-1	-0.331939033
-1	0	0.5770888
-1	1	0.998001999
-1	2	0.574785055
-1	3	-0.329294115
-1	4	-0.945719189
-1	5	-0.758763181
-1	6	0.05995906
-1	7	0.809147577
-1	8	0.862613012
-1	9	0.196140884
-1	10	-0.609768265
0	-10	-0.897831775
0	-9	-0.622086401
0	-8	0.199703386
0	-7	0.876525826
0	-6	0.820555311
0	-5	0.060682903
0	-4	-0.766388878
0	-3	-0.953315286
0	-2	-0.331275819
0	-1	0.5770888
0	0	1
0	1	0.5770888
0	2	-0.331275819
0	3	-0.953315286
0	4	-0.766388878
0	5	0.060682903
0	6	0.820555311
0	7	0.876525826
0	8	0.199703386
0	9	-0.622086401
0	10	-0.897831775
1	-10	-0.609768265
1	-9	0.196140884
1	-8	0.862613012
1	-7	0.809147577
1	-6	0.05995906
1	-5	-0.758763181
1	-4	-0.945719189
1	-3	-0.329294115
1	-2	0.574785055
1	-1	0.998001999
1	0	0.5770888
1	1	-0.331939033
1	2	-0.957136184
1	3	-0.771001034
1	4	0.061170314
1	5	0.828802029
1	6	0.887107499
1	7	0.202518896
1	8	-0.632119837
1	9	-0.914139073
1	10	-0.426489058
2	-10	0.191872904
2	-9	0.84553213
2	-8	0.79471322
2	-7	0.059007349
2	-6	-0.74821451
2	-5	-0.934438379
2	-4	-0.326017584
2	-3	0.570205119
2	-2	0.992031915
2	-1	0.574785055
2	0	-0.331275819
2	1	-0.957136184
2	2	-0.772544579
2	3	0.061415485
2	4	0.833789789
2	5	0.894232822
2	6	0.204554245
2	7	-0.63975097
2	8	-0.927027025
2	9	-0.433367766
2	10	0.402987008
3	-10	0.825480935
3	-9	0.777420447
3	-8	0.057838925
3	-7	-0.734867135
3	-6	-0.919606337
3	-5	-0.321485139
3	-4	0.563403548
3	-3	0.982161032
3	-2	0.570205119
3	-1	-0.329294115
3	0	-0.953315286
3	1	-0.771001034
3	2	0.061415485
3	3	0.835459038
3	4	0.897816917
3	5	0.20578526
3	6	-0.644889505
3	7	-0.936343802
3	8	-0.438599507
3	9	0.408668504
3	10	0.886352577
4	-10	0.757468021
4	-9	0.056467316
4	-8	-0.718876599
4	-7	-0.901396912
4	-6	-0.315750176
4	-5	0.554460824
4	-4	0.968506582
4	-3	0.563403548
4	-2	-0.326017584
4	-1	-0.945719189
4	0	-0.766388878
4	1	0.061170314
4	2	0.833789789
4	3	0.897816917
4	4	0.206197242
4	5	-0.647474229
4	6	-0.941978752
4	7	-0.442122376
4	8	0.412775691
4	9	0.897052881
4	10	0.618708553
5	-10	0.054908162
5	-9	-0.700426696
5	-8	-0.880020924
5	-7	-0.308879526
5	-6	0.543481764
5	-5	0.951229425
5	-4	0.554460824
5	-3	-0.321485139
5	-2	-0.934438379
5	-1	-0.758763181
5	0	0.060682903
5	1	0.828802029
5	2	0.894232822
5	3	0.20578526
5	4	-0.647474229
5	5	-0.943864595
5	6	-0.443894407
5	7	0.41525979
5	8	0.904258087
5	9	0.624926678
5	10	-0.163874239
6	-10	-0.679725958
6	-9	-0.855722109
6	-8	-0.300952161
6	-7	0.53059348
6	-6	0.930530896
6	-5	0.543481764
6	-4	-0.315750176
6	-3	-0.919606337
6	-2	-0.74821451
6	-1	0.05995906
6	0	0.820555311
6	1	0.887107499
6	2	0.204554245
6	3	-0.644889505
6	4	-0.941978752
6	5	-0.443894407
6	6	0.41609114
6	7	0.907882363
6	8	0.628687509
6	9	-0.165190491
6	10	-0.793715305
7	-10	-0.828772495
7	-9	-0.29205768
7	-8	0.515942927
7	-7	0.906648904
7	-6	0.53059348
7	-5	-0.308879526
7	-4	-0.901396912
7	-3	-0.734867135
7	-2	0.059007349
7	-1	0.809147577
7	0	0.876525826
7	1	0.202518896
7	2	-0.63975097
7	3	-0.936343802
7	4	-0.442122376
7	5	0.41525979
7	6	0.907882363
7	7	0.629946142
7	8	-0.165852576
7	9	-0.798491912
7	10	-0.745172982
8	-10	-0.282294631
8	-9	0.499694121
8	-8	0.879853379
8	-7	0.515942927
8	-6	-0.300952161
8	-5	-0.880020924
8	-4	-0.718876599
8	-3	0.057838925
8	-2	0.79471322
8	-1	0.862613012
8	0	0.199703386
8	1	-0.632119837
8	2	-0.927027025
8	3	-0.438599507
8	4	0.412775691
8	5	0.904258087
8	6	0.628687509
8	7	-0.165852576
8	8	-0.800090494
8	9	-0.748159643
8	10	-0.07630546
9	-10	0.482025084
9	-9	0.850441205
9	-8	0.499694121
9	-7	-0.29205768
9	-6	-0.855722109
9	-5	-0.700426696
9	-4	0.056467316
9	-3	0.777420447
9	-2	0.84553213
9	-1	0.196140884
9	0	-0.622086401
9	1	-0.914139073
9	2	-0.433367766
9	3	0.408668504
9	4	0.897052881
9	5	0.624926678
9	6	-0.165190491
9	7	-0.798491912
9	8	-0.748159643
