name bandgap energy_pa volume_pa magmom_pa fermi hull_distance delta_e
O,3.0,Pu,2.0, 1.937 -11.172603882 14.962 1.99999992 9.10189411 -0.496022374 -3.6269961036
Mg,2.0,Nd,4.0,Cu,4.0, 0.0 -3.888189712 22.624 0.0 3.80602912 -0.029634856 -0.202532786
Cr,1.0,O,4.0,Sr,2.0, 0.0 -6.71762647429 12.7342857143 0.285713857143 3.02959588 -0.0290469958929 -2.72139677796
I,6.0,Y,2.0, 3.101 -4.19437175875 46.80375 0.0 0.63935253 -1.1310798819 -1.57754387097
Mn,2.0,Sn,4.0, 0.0 -5.66645892167 19.375 0.71577155 9.29668421 -0.0536666342841 -0.0536666342841
Y,4.0,Mg,2.0,Cu,4.0, 0.0 -4.613458506 20.587 0.0 3.89833085 -0.00643286666666 -0.246902206
Al,8.0,Ho,8.0, 0.0 -4.57721731375 23.2075 0.0 4.62430314 -0.0102874145833 -0.415797315417
Zn,4.0,Dy,2.0, 0.0 -2.74407412833 18.6416666667 0.0 3.35275917 -0.0356938108333 -0.383556033889
Ni,9.0,Mg,2.0,Gd,1.0, 0.0 -5.08771299333 12.835 0.138370291667 4.98524976 -0.00156154479167 -0.283055738333
Gd,12.0,Co,4.0, 0.0 -5.40397355312 25.885625 0.0 3.72152841 -0.08847588125 -0.143060284375
Na,4.0,S,4.0, 1.35 -3.5422650525 20.99 0.0 2.47852169 -0.102462270397 -1.00012138663
Y,2.0,Cu,4.0, 0.0 -4.87902256333 17.0783333333 0.0 4.04338267 -0.0331766016667 -0.270386091667
Ni,9.0,Er,3.0, 0.0 -5.73898487083 13.5816666667 0.0 4.73106598 -0.0235005125 -0.438333007083
Ni,4.0,Er,4.0, 0.0 -5.5578432175 19.23375 0.0 3.81611792 -0.0761382872917 -0.50286406
Sm,4.0,Cu,4.0, 0.0 -4.41453747625 21.99375 0.0 3.66482788 -0.10928677925 -0.21752024875
Tm,8.0,Al,8.0, 0.0 -4.51875644812 22.688125 0.0 4.61863047 -0.0151770865625 -0.409105643125
Y,8.0,Al,4.0, 0.0 -5.873844975 26.6283333333 0.0 4.12041496 -0.0183258616667 -0.315637418333
P,4.0,Fe,4.0, 0.0 -7.45974149125 11.09875 0.1900123125 9.80080865 -0.104784999028 -0.736736764038
Ni,4.0,Mg,2.0,Nd,4.0, 0.0 -4.741919422 20.987 0.0 4.20381732 -0.0304141568 -0.309994596
Ni,5.0,Nd,1.0, 0.0 -5.69486901167 13.4183333333 0.21965815 4.69788069 -0.0179380401773 -0.279206646667
Mo,6.0,Si,2.0, 0.0 -9.79659212125 14.87375 0.0 9.39627432 -0.0395749108333 -0.3057817925
Te,2.0,Pd,1.0, 0.0 -4.15136455667 24.6 0.0 7.10762944 None -0.344571362222
Y,2.0,Co,2.0, 0.0 -6.9737781975 19.51 6.71e-05 4.02532885 -0.02214992625 -0.2012837375
S,2.0,Ce,2.0, 0.0 -6.464567575 25.1675 0.0004014 6.00686811 -0.25119606375 -2.16425977579
Ho,2.0,Cu,4.0, 0.0 -4.261240395 16.6916666667 0.0 3.97630696 -0.0449339441667 -0.281664889444
Pr,2.0,Ni,2.0, 0.0 -5.4701913525 22.105 0.0 4.13054693 -0.0680005984091 -0.3101140875
Cu,4.0,Ce,4.0, 0.0 -4.37543489 23.48125 0.0 3.968543 -0.0360919175 -0.146822655
